Training Error0.0001,Training Error 0.001,Training Error 0.01
930.9713797,833.7489584,2232.642495
930.8386232,833.7264829,2366.723936
930.7061495,833.7041023,2232.62406
930.5739579,833.6818159,2366.62014
930.4420476,833.6596234,2232.607142
930.3104177,833.6375243,2366.514044
930.1790675,833.6155182,2232.588775
930.0479963,833.5936046,2366.413241
929.9172031,833.571783,2232.573634
929.7866871,833.5500532,2366.314536
929.6564476,833.5284146,2232.556073
929.526484,833.5068667,2366.214746
929.3967952,833.4854092,2232.53878
929.2673806,833.4640417,2366.117294
929.1382395,833.4427637,2232.522044
929.009371,833.4215748,2366.019982
928.8807742,833.4004744,2232.506391
928.7524485,833.3794624,2365.925386
928.6243932,833.3585382,2232.493537
928.4966074,833.3377015,2365.834689
928.3690905,833.3169518,2232.478214
928.2418416,833.2962886,2365.742314
928.11486,833.2757117,2232.461368
927.9881448,833.2552206,2365.650234
927.8616955,833.2348149,2232.446648
927.7355112,833.2144941,2365.558923
927.6095912,833.194258,2232.432252
927.4839348,833.1741061,2365.471453
927.3585412,833.154038,2232.417049
927.2334096,833.1340533,2365.383967
927.1085393,833.1141517,2232.40216
926.9839297,833.0943327,2365.296706
926.8595799,833.0745959,2232.38829
926.7354892,833.0549411,2365.210955
926.6116571,833.0353677,2232.375611
926.4880826,833.0158755,2365.128382
926.364765,832.9964641,2232.363911
926.2417038,832.977133,2365.048024
926.1188981,832.9578819,2232.353703
925.9963472,832.9387104,2364.965812
925.8740505,832.9196182,2232.338489
925.7520071,832.900605,2364.884856
925.6302165,832.8816703,2232.328363
925.5086779,832.8628137,2364.805958
925.3873906,832.8440349,2232.312497
925.2663539,832.8253337,2364.725752
925.1455672,832.8067095,2232.29873
925.0250296,832.7881621,2364.646006
924.9047406,832.769691,2232.289217
924.7846994,832.751296,2364.570435
924.6649054,832.7329768,2232.278175
924.5453578,832.7147329,2364.496974
924.426056,832.6965639,2232.269503
924.3069994,832.6784697,2364.424763
924.1881871,832.6604497,2232.260319
924.0696187,832.6425038,2364.352733
923.9512933,832.6246315,2232.251304
923.8332104,832.6068325,2364.280813
923.7153692,832.5891065,2232.243111
923.597769,832.5714531,2364.2122
923.4804092,832.553872,2232.234156
923.3632892,832.5363629,2364.144697
923.2464083,832.5189255,2232.227247
923.1297659,832.5015593,2364.076991
923.0133613,832.4842642,2232.218049
922.8971938,832.4670398,2364.007318
922.7812627,832.4498858,2232.206254
922.6655674,832.4328017,2363.938675
922.5501074,832.4157874,2232.196922
922.4348818,832.3988426,2363.872996
922.3198902,832.3819668,2232.184507
922.2051318,832.3651598,2363.802366
922.0906061,832.3484213,2232.176845
921.9763123,832.3317509,2363.738735
921.8622498,832.3151485,2232.170244
921.7484181,832.2986135,2363.676198
921.6348165,832.2821458,2232.161434
921.5214443,832.2657451,2363.614485
921.408301,832.249411,2232.154789
921.2953859,832.2331433,2363.552167
921.1826984,832.2169416,2232.148447
921.0702379,832.2008056,2363.49328
920.9580037,832.1847351,2232.140704
920.8459953,832.1687298,2363.433585
920.734212,832.1527893,2232.134563
920.6226532,832.1369135,2363.374061
920.5113183,832.1211019,2232.128203
920.4002067,832.1053543,2363.315599
920.2893178,832.0896705,2232.122064
920.178651,832.07405,2363.258168
920.0682056,832.0584928,2232.11418
919.9579811,832.0429983,2363.202973
919.847977,832.0275665,2232.111158
919.7381925,832.012197,2363.148282
919.6286271,831.9968895,2232.107501
919.5192803,831.9816438,2363.093278
919.4101514,831.9664595,2232.099503
