Training Error 0.0025,Learning Rate
1092.823495,0.0025
1092.823495,
1078.401599,
1065.175756,
1052.879653,
1041.553942,
1031.021745,
1021.28631,
1012.229328,
1003.83153,
996.0121441,
988.740504,
981.9592648,
975.6342787,
969.7228499,
964.1923373,
959.0096665,
954.1461956,
949.5756457,
945.2740708,
941.2203335,
937.3948562,
933.7804762,
930.3612745,
927.123176,
924.0531543,
921.1395587,
918.3716095,
915.7395627,
913.2344076,
910.847918,
908.5724917,
906.4011456,
904.3274131,
902.3453285,
900.4493635,
898.6344032,
896.8956965,
895.2288338,
893.6297165,
892.0945342,
890.6197361,
889.2020139,
887.8382791,
886.5256526,
885.2614408,
884.0431265,
882.8683537,
881.7349131,
880.6407396,
879.5838914,
878.5625454,
877.5749914,
876.6196191,
875.6949159,
874.7994569,
873.9318998,
873.0909788,
872.2755008,
871.4843403,
870.7164327,
869.9707734,
869.2464123,
868.54245,
867.8580355,
867.1923627,
866.5446676,
865.9142266,
865.3003528,
864.7023934,
864.1197298,
863.5517736,
862.997966,
862.4577753,
861.9306946,
861.4162429,
860.913961,
860.4234127,
859.9441811,
859.4758692,
859.0180972,
858.5705044,
858.1327452,
857.7044893,
857.285421,
856.8752402,
856.4736574,
856.0803974,
855.6951961,
855.3178007,
854.947969,
854.5854691,
854.2300782,
853.881583,
853.5397792,
853.20447,
852.8754672,
852.5525894,
852.2356629,
851.9245204,
851.6190011,
851.3189505,
851.0242197,
850.7346658,
850.4501512,
850.1705431,
849.8957138,
849.6255398,
849.3599026,
849.0986877,
848.8417848,
848.5890872,
848.3404921,
848.0959003,
847.8552158,
847.6183463,
847.3852021,
847.1556966,
846.9297463,
846.7072702,
846.4881901,
846.2724301,
846.0599172,
845.85058,
845.6443498,
845.44116,
845.2409459,
845.0436451,
844.8491967,
844.6575419,
844.4686236,
844.2823864,
844.098776,
843.9177405,
843.7392292,
843.5631926,
843.3895827,
843.218353,
843.0494581,
842.882854,
842.7184979,
842.556348,
842.3963638,
842.2385057,
842.0827353,
841.929015,
841.7773084,
841.62758,
841.4797951,
841.3339199,
841.1899212,
841.0477671,
840.9074262,
840.7688679,
840.6320622,
840.4969802,
840.3635933,
840.2318738,
840.1017945,
839.9733289,
839.8464509,
839.7211355,
839.5973577,
839.4750934,
839.354319,
839.2350112,
839.1171473,
839.0007052,
838.8856633,
838.7720002,
838.6596951,
838.548728,
838.4390786,
838.3307274,
838.2236554,
838.1178438,
838.0132742,
837.9099286,
837.8077894,
837.7068393,
837.6070613,
837.5084388,
837.4109554,
837.314595,
837.2193421,
837.125181,
837.0320969,
836.9400748,
836.8491,
836.7591583,
836.6702356,
836.5823181,
836.4953922,
836.4094445,
836.3244619,
836.2404318,
836.1573414,
836.0751783,
