Training Error 0.00025,Learning Rate
892.6194674,
892.4679941,
892.3171234,
892.1668518,
892.0171761,
891.8680929,
891.7195988,
891.5716909,
891.4243655,
891.2776195,
891.1314499,
890.9858533,
890.8408266,
890.6963667,
890.5524702,
890.4091343,
890.2663557,
890.1241316,
889.9824588,
889.8413344,
889.7007553,
889.5607184,
889.4212209,
889.2822599,
889.1438323,
889.0059354,
888.8685662,
888.7317219,
888.5953995,
888.4595965,
888.3243099,
888.1895369,
888.0552748,
887.9215207,
887.788272,
887.6555261,
887.52328,
887.3915313,
887.2602774,
887.1295153,
886.9992427,
886.8694569,
886.7401553,
886.6113353,
886.4829944,
886.35513,
886.2277397,
886.1008209,
885.9743712,
885.8483879,
885.7228688,
885.5978114,
885.4732133,
885.349072,
885.2253853,
885.1021505,
884.9793654,
884.8570276,
884.7351351,
884.6136852,
884.4926758,
884.3721045,
884.2519692,
884.1322674,
884.0129971,
883.8941559,
883.7757417,
883.6577522,
883.5401854,
883.4230389,
883.3063107,
883.1899987,
883.0741005,
882.9586142,
882.8435377,
882.7288689,
882.6146058,
882.5007462,
882.387288,
882.2742294,
882.1615681,
882.0493024,
881.9374301,
881.8259492,
881.7148578,
881.6041539,
881.4938356,
881.383901,
881.2743481,
881.165175,
881.0563798,
880.9479607,
880.8399157,
880.7322431,
880.6249408,
880.5180071,
880.4114402,
880.3052383,
880.1993996,
880.0939221,
879.9888044,
879.8840443,
879.7796402,
879.6755905,
879.5718934,
879.4685472,
879.3655499,
879.2629001,
879.1605959,
879.0586358,
878.9570181,
878.8557409,
878.7548028,
878.654202,
878.553937,
878.4540061,
878.3544077,
878.2551401,
878.1562018,
878.0575912,
877.9593067,
877.8613467,
877.7637098,
877.6663942,
877.5693987,
877.4727214,
877.376361,
877.280316,
877.1845848,
877.0891659,
876.9940579,
876.8992593,
876.8047686,
876.7105842,
876.616705,
876.5231293,
876.4298557,
876.3368829,
876.2442094,
876.1518337,
876.0597545,
875.9679703,
875.8764799,
875.7852818,
875.6943747,
875.6037572,
875.5134279,
875.4233856,
875.3336289,
875.2441564,
875.1549669,
875.0660589,
874.9774313,
874.8890826,
874.8010117,
874.7132173,
874.6256981,
874.5384528,
874.4514802,
874.3647789,
874.2783479,
874.1921857,
874.1062912,
874.0206633,
873.9353006,
873.8502019,
873.7653661,
873.6807919,
873.5964782,
873.5124238,
873.4286275,
873.3450881,
873.2618045,
873.1787755,
873.096,
873.0134769,
872.9312049,
872.8491831,
872.7674101,
872.685885,
872.6046066,
872.5235739,
872.4427857,
872.3622408,
872.2819384,
872.2018773,
872.1220563,
872.0424745,
871.9631308,
871.8840241,
871.8051534,
871.7265176,
871.6481158,
871.5699467,
871.4920096,
871.4143033,
871.3368267,
871.259579,
871.1825591,
871.105766,
871.0291988,
870.9528563,
870.8767377,
870.800842,
870.7251681,
870.6497152,
870.5744823,
870.4994684,
870.4246726,
870.3500939,
870.2757314,
870.2015842,
870.1276513,
870.0539319,
869.980425,
869.9071296,
869.8340449,
869.76117,
869.688504,
869.6160459,
869.543795,
869.4717503,
869.399911,
869.3282761,
869.2568447,
869.1856162,
869.1145895,
869.0437639,
868.9731384,
868.9027123,
868.8324847,
868.7624547,
868.6926215,
868.6229843,
868.5535423,
868.4842947,
868.4152405,
