Training Error 0.001,Learning Rate
1098.03364,0.001
1098.03364,
1091.964077,
1086.279372,
1080.777836,
1075.44344,
1070.269951,
1065.251811,
1060.383666,
1055.660343,
1051.076837,
1046.62831,
1042.310099,
1038.11769,
1034.046738,
1030.093047,
1026.252574,
1022.521411,
1018.895805,
1015.372131,
1011.946899,
1008.616742,
1005.378429,
1002.228838,
999.1649669,
996.1839203,
993.2829172,
990.4592762,
987.7104155,
985.033855,
982.4272022,
979.8881527,
977.414489,
975.004078,
972.6548655,
970.3648716,
968.1321905,
965.9549881,
963.8314981,
961.7600164,
959.7389054,
957.7665839,
955.8415291,
953.9622758,
952.1274094,
950.3355692,
948.5854413,
946.8757588,
945.2053004,
943.5728894,
941.9773897,
940.4177053,
938.8927792,
937.4015921,
935.9431596,
934.5165308,
933.1207899,
931.7550498,
930.4184547,
929.1101788,
927.8294245,
926.5754205,
925.3474197,
924.144703,
922.9665745,
921.8123613,
920.6814105,
919.5730937,
918.4868016,
917.421945,
916.377953,
915.354275,
914.3503758,
913.3657386,
912.3998629,
911.4522646,
910.5224725,
909.6100316,
908.7145013,
907.8354541,
906.9724761,
906.1251665,
905.2931345,
904.476004,
903.6734089,
902.8849939,
902.1104144,
901.3493363,
900.6014353,
899.8663964,
899.143914,
898.4336913,
897.7354409,
897.0488825,
896.3737446,
895.7097627,
895.056681,
894.4142503,
893.7822275,
893.1603778,
892.5484726,
891.9462879,
891.3536089,
890.7702244,
890.1959298,
889.6305257,
889.0738186,
888.5256198,
887.9857461,
887.4540189,
886.930264,
886.4143123,
885.9059993,
885.4051642,
884.9116502,
884.4253061,
883.9459829,
883.4735363,
883.0078249,
882.548712,
882.0960635,
881.6497495,
881.2096427,
880.7756189,
880.3475574,
879.9253403,
879.5088529,
879.0979829,
878.6926206,
878.2926597,
877.897996,
877.5085276,
877.1241556,
876.7447829,
876.3703156,
876.0006606,
875.6357283,
875.2754306,
874.9196818,
874.5683974,
874.2214959,
873.8788971,
873.5405227,
873.2062968,
872.8761442,
872.5499919,
872.2277683,
871.9094042,
871.5948311,
871.2839827,
870.9767936,
870.6732,
870.3731397,
870.0765517,
869.7833763,
869.493555,
869.2070314,
868.9237492,
868.643654,
868.3666921,
868.0928113,
867.8219604,
867.5540894,
867.2891492,
867.0270919,
866.7678707,
866.5114388,
866.2577519,
866.0067656,
865.7584367,
865.5127227,
865.2695825,
865.0289754,
864.7908614,
864.5552014,
864.3219575,
864.0910922,
863.8625688,
863.6363515,
863.4124046,
863.190694,
862.9711857,
862.7538464,
862.5386438,
862.3255458,
862.1145212,
861.9055392,
861.6985698,
861.4935834,
861.2905512,
861.0894447,
860.8902361,
860.692898,
860.4974034,
860.3037264,
860.1118411,
859.921722,
859.7333443,
859.5466838,
859.3617161,
859.178418,
858.9967664,
858.8167384,
858.638312,
858.4614653,
858.2861769,
858.1124255,
857.9401907,
857.7694521,
857.6001898,
857.4323839,
857.2660157,
857.1010658,
856.9375157,
856.7753473,
856.6145426,
856.4550839,
856.296954,
856.1401357,
855.9846125,
855.8303678,
855.6773856,
855.5256499,
855.3751451,
855.2258558,
855.0777669,
854.9308637,
854.7851315,
854.6405559,
854.497123,
854.3548186,
854.2136294,
854.0735418,
853.9345426,
853.7966188,
853.6597577,
853.5239467,
853.3891734,
853.2554257,
853.1226915,
852.9909591,
852.8602169,
852.7304534,
852.6016577,
852.4738184,
852.3469248,
852.2209661,
852.0959319,
851.9718117,
851.8485954,
