Training Error 0.0004,Learning Rate
1103.559267,0.0004
1103.559267,
1100.041212,
1097.140165,
1094.54784,
1092.117418,
1089.778808,
1087.49841,
1085.259999,
1083.055636,
1080.881341,
1078.735021,
1076.615489,
1074.521991,
1072.453987,
1070.411037,
1068.392754,
1066.398777,
1064.42876,
1062.482366,
1060.559264,
1058.65913,
1056.781647,
1054.926497,
1053.093372,
1051.281965,
1049.491974,
1047.7231,
1045.975051,
1044.247539,
1042.540276,
1040.852982,
1039.185378,
1037.537191,
1035.908151,
1034.297993,
1032.706453,
1031.133276,
1029.578205,
1028.040988,
1026.52138,
1025.019136,
1023.534016,
1022.065784,
1020.614205,
1019.179052,
1017.760097,
1016.357116,
1014.969892,
1013.598206,
1012.241844,
1010.900598,
1009.574259,
1008.262624,
1006.965491,
1005.682663,
1004.413945,
1003.159145,
1001.918073,
1000.690542,
999.4763696,
998.2753742,
997.0873784,
995.9122048,
994.7496827,
993.59964,
992.4619089,
991.3363252,
990.2227268,
989.1209522,
988.0308434,
986.9522453,
985.8850051,
984.8289696,
983.7839916,
982.7499247,
981.7266254,
980.7139501,
979.7117592,
978.719915,
977.7382824,
976.7667269,
975.8051169,
974.8533226,
973.9112168,
972.978673,
972.0555664,
971.1417752,
970.2371792,
969.3416591,
968.4550988,
967.5773832,
966.7083977,
965.8480317,
964.9961753,
964.1527194,
963.3175576,
962.4905842,
961.6716963,
960.8607915,
960.057768,
959.2625276,
958.4749719,
957.6950056,
956.9225327,
956.1574608,
955.3996963,
954.6491496,
953.9057308,
953.1693517,
952.4399252,
951.7173662,
951.0015898,
950.292513,
949.5900536,
948.8941314,
948.2046663,
947.5215797,
946.8447947,
946.1742349,
945.5098247,
944.8514902,
944.199159,
943.5527583,
942.9122179,
942.2774673,
941.6484375,
941.025061,
940.4072698,
939.794999,
939.1881827,
938.586757,
937.9906587,
937.399825,
936.8141943,
936.2337062,
935.658301,
935.0879189,
934.5225024,
933.961994,
933.4063369,
932.8554747,
932.3093532,
931.7679179,
931.2311154,
930.6988925,
930.1711971,
929.6479779,
929.1291847,
928.6147667,
928.104675,
927.5988609,
927.0972765,
926.5998745,
926.1066081,
925.6174311,
925.1322982,
924.6511646,
924.1739859,
923.7007185,
923.2313196,
922.7657461,
922.3039566,
921.8459093,
921.3915635,
920.9408793,
920.4938167,
920.0503364,
919.6103996,
919.1739682,
918.7410046,
918.311471,
917.8853313,
917.4625492,
917.0430885,
916.6269144,
916.2139918,
915.8042858,
915.3977627,
914.9943892,
914.5941322,
914.1969584,
913.8028361,
913.411733,
913.0236181,
912.6384602,
912.2562286,
911.8768933,
911.5004239,
911.1267913,
