Training Error 0.004,Learning Rate
1099.68716,0.004
1099.68716,
1139.389484,
1343.46872,
1770.114226,
2260.535567,
1829.774142,
2231.547646,
1775.417284,
2159.120159,
1743.293444,
2088.791503,
1710.751368,
2015.537922,
1679.484036,
1941.532848,
1648.058403,
1867.782789,
1615.745124,
1795.316488,
1582.068146,
1724.988063,
1546.899101,
1657.514225,
1510.408751,
1593.453663,
1472.993348,
1533.21515,
1435.209908,
1477.081749,
1397.680394,
1425.206183,
1361.010528,
1377.630393,
1325.735203,
1334.293162,
1292.278233,
1295.054494,
1260.942985,
1259.714083,
1231.912819,
1228.023319,
1205.263779,
1199.706501,
1180.985353,
1174.478535,
1159.001627,
1152.048608,
1139.192112,
1132.136173,
1121.40755,
1114.475844,
1105.483917,
1098.820995,
1091.254868,
1084.944023,
1078.555192,
1072.639388,
1067.226508,
1061.72212,
1057.12396,
1052.027803,
1048.110639,
1043.408425,
1040.063173,
1035.734161,
1032.870214,
1028.889676,
1026.432244,
1022.773756,
1020.658383,
1017.295544,
1015.46927,
1012.375908,
1010.793145,
1007.945639,
1006.566841,
1003.940963,
1002.733722,
1000.309765,
999.2446286,
997.0022444,
996.0550003,
993.9763626,
993.1258135,
991.1951349,
990.4228181,
988.6264028,
987.9163214,
986.2416315,
985.5810296,
984.0162176,
983.3933927,
981.9284639,
981.3332374,
979.9602111,
979.3845354,
978.0953036,
977.5321635,
976.3198216,
975.7635999,
974.6230786,
974.068744,
972.9945347,
972.4384077,
971.4264046,
970.8652554,
969.9114413,
969.3428523,
968.4439014,
967.865734,
967.0181831,
966.4290379,
965.6317177,
965.0299943,
964.2800723,
963.6652393,
962.9607285,
962.3326153,
961.6721619,
961.0300563,
960.4120285,
959.7559396,
959.1787053,
958.5086816,
957.9711139,
957.2870681,
956.7879299,
956.0899641,
955.6280913,
954.9169281,
954.4914559,
953.7668412,
953.3768605,
952.639108,
952.2834396,
951.5331131,
951.2110494,
950.4487434,
950.1594766,
949.385372,
949.1277871,
948.3420774,
948.115709,
947.3190427,
947.1226022,
946.3148979,
946.1477946,
945.3296858,
945.1915908,
944.3634424,
944.2529484,
943.4150614,
943.331679,
942.4844209,
942.4272747,
941.5707551,
941.5392737,
940.6742019,
940.6676779,
939.7941245,
939.8120507,
938.9301144,
938.9712148,
938.0817474,
938.1459527,
937.2490622,
937.3353408,
936.4312501,
936.5392743,
935.6280527,
935.7568692,
934.8391015,
934.9883952,
934.0639827,
934.2333916,
933.3032736,
933.4917487,
932.5557851,
932.7630561,
931.8212646,
932.0464773,
931.0996834,
931.3427292,
930.390823,
930.6510408,
929.6941902,
929.9710129,
929.0096773,
929.3027556,
928.3374699,
928.6463558,
927.6769076,
928.0013181,
927.0275012,
927.3663854,
926.3894684,
926.7430277,
925.7624178,
926.1299933,
925.1464005,
925.5275809,
924.5407984,
924.9351912,
923.9453364,
924.3526711,
923.360419,
923.780042,
922.7854555,
923.2174173,
922.2205391,
922.6644025,
921.6657017,
922.1208918,
921.1201981,
921.5864591,
920.5836767,
921.0608062,
920.0565471,
920.5440158,
919.5382302,
920.0361719,
919.0293588,
919.5373196,
918.529207,
919.0470242,
918.0376512,
918.5643585,
917.5539859,
918.0899005,
917.0788656,
917.623603,
916.6119901,
917.1651491,
916.1527422,
916.7143606,
915.7014131,
916.271269,
915.2580195,
915.8358156,
914.8223783,
915.4078638,
914.3940092,
914.9869306,
913.9732468,
914.5732949,
913.5593907,
914.1667049,
913.1525074,
913.76662,
912.7529308,
913.3733395,
912.3598457,
912.9868408,
911.9737168,
912.6069765,
911.5942669,
912.2334517,
911.2207826,
911.8660124,
910.8538353,
911.5047238,
910.493241,
911.1497795,
910.1389895,
910.8009487,
909.790664,
910.4578725,
909.4481095,
910.1205009,
909.111516,
909.7889619,
908.7807371,
909.4630196,
908.4558298,
909.1428981,
908.1362645,
908.8278048,
907.8220669,
908.5180047,
907.5130916,
908.2133543,
907.2095783,
907.9141359,
906.9112436,
907.6198174,
906.6179909,
907.3304684,
906.3294942,
907.0458167,
906.0460486,
906.7662359,
905.767596,
906.4913139,
905.4937341,
906.2210447,
905.2246161,
905.9552829,
904.9598311,
905.6941121,
904.69989,
905.4372511,
904.4439873,
905.1846657,
904.1925744,
904.9363973,
903.9455345,
904.6920765,
903.7023372,
904.4519799,
903.4635112,
904.2157968,
903.2285255,
903.9836794,
902.9977648,
903.755739,
902.7710888,
903.5316785,
902.5482541,
903.3112967,
902.3289528,
903.0945101,
902.1135039,
902.8816943,
901.9017691,
902.671889,
901.6933104,
902.4658858,
901.4884547,
902.2634868,
901.2872358,
902.0643535,
901.0895993,
901.868905,
900.8950875,
901.6764317,
900.7039883,
901.4871784,
900.5160355,
901.3012211,
900.3310643,
901.1181404,
900.1491163,
900.9378627,
899.9703074,
900.7609458,
899.7945804,
900.5868289,
899.6217273,
900.4157492,
899.4516701,
900.247338,
899.2845393,
900.0819627,
899.120322,
899.9191421,
898.9588702,
899.7595177,
898.8001307,
899.6019879,
898.6438697,
899.4474138,
898.4905286,
899.2955218,
898.3397071,
899.1458933,
898.191245,
898.9987995,
898.0455888,
898.8548537,
897.9024382,
898.7124825,
897.7613651,
898.5729347,
897.6225569,
898.4353384,
897.4861719,
898.2999345,
897.3518449,
898.1669736,
897.2202669,
898.0364357,
897.0905776,
897.9076858,
896.9629327,
897.7812711,
896.8375586,
897.6570295,
896.7143178,
897.5348227,
896.5929767,
897.4145122,
896.4739404,
897.296282,
896.3566399,
897.1801256,
896.241377,
897.0656352,
896.1279731,
896.9532777,
896.0164795,
896.8427959,
895.906999,
896.7341411,
895.7993551,
896.6273445,
895.6933284,
896.5219182,
895.5891091,
896.4186131,
895.486555,
896.3169039,
895.3859235,
896.2170324,
895.2869443,
896.1188365,
895.18966,
896.0223766,
895.0940182,
895.9273306,
894.9997841,
895.8338812,
894.9072397,
895.7418324,
894.8159418,
895.6514177,
894.7262031,
895.5621217,
894.6378671,
895.4744154,
894.551232,
895.3886233,
894.4661151,
895.3040472,
894.382278,
895.2207741,
894.2999741,
895.1392665,
894.2189244,
895.0587541,
894.1391017,
894.9792912,
894.0603713,
894.9012082,
893.9830712,
894.8244245,
893.9069702,
894.7487292,
893.8320773,
894.6743654,
893.7585319,
894.601537,
893.686318,
894.5294999,
893.6148372,
894.4585277,
893.5445035,
894.3887551,
893.4755753,
894.3202553,
893.4078988,
894.2530988,
893.3411096,
894.1869602,
893.2758082,
894.1220224,
893.2113471,
894.0579745,
893.1480757,
893.9950262,
893.0857212,
893.933134,
893.0244003,
893.8720611,
892.9641597,
893.8122841,
892.9047685,
893.7534988,
892.8465962,
893.6954436,
892.7891461,
893.6384509,
892.732521,
893.5821366,
892.6767753,
893.5267945,
892.6220126,
893.4723497,
892.568063,
893.4188175,
892.5151142,
893.3658583,
892.4627638,
893.3141481,
892.4115478,
893.263165,
892.360911,
893.2127637,
892.3110955,
893.1632638,
892.262124,
893.1145804,
892.2140697,
893.0669979,
892.1667869,
893.0199834,
892.1203985,
892.9736861,
892.0743527,
892.9280884,
892.0293094,
892.8831763,
891.9850581,
892.8393075,
891.9415065,
892.7959102,
891.8983773,
892.7529416,
891.8559226,
892.7111288,
891.814512,
892.6698612,
891.7737297,
892.6293096,
891.7335243,
892.5892034,
891.6937884,
892.5496594,
891.6546502,
892.5109301,
891.6162532,
892.4725992,
891.5783981,
892.4349967,
891.5411101,
892.397957,
891.5043556,
892.3613852,
891.4681177,
892.3252606,
891.4323498,
892.2898868,
891.3973035,
892.2548523,
891.3629003,
892.2208558,
891.3292014,
892.1873308,
891.2958342,
892.1540607,
891.2629214,
892.1214987,
891.2308701,
892.0894454,
891.1989099,
892.0576126,
891.1674345,
892.0264473,
891.1366556,
891.9959002,
891.1063927,
891.9658247,
891.0764975,
891.9360246,
891.0470089,
891.9066005,
891.0182154,
891.8781898,
890.9897524,
891.8497114,
890.9616817,
891.8217063,
890.9339664,
891.7944539,
890.9068722,
891.767229,
890.8799088,
891.7405927,
890.853674,
891.7144134,
890.8277432,
891.6886196,
890.8021083,
891.663198,
890.7769896,
891.6382714,
890.752254,
891.6137433,
890.7280626,
891.5895981,
890.7039937,
891.5655562,
890.6802648,
891.5420728,
890.6569111,
891.5186497,
