Training Error 0.0001,Training Error 0.001,Training Error 0.01,Training Error 0.1
73.29911088,53.20291615,51.46615495,54.69299328
73.09552957,53.18137481,51.4655208,60.50657409
72.89559913,53.16022928,51.46490651,54.68623313
72.69922454,53.13946983,51.46431135,60.47599687
72.50631393,53.119087,51.46373464,54.69197797
72.31677871,53.09907163,51.46317571,60.50196224
72.13053305,53.07941485,51.46263394,54.68709762
71.94749393,53.06010806,51.46210873,60.47991107
71.76758123,53.0411429,51.46159949,54.69124869
71.59071745,53.02251128,51.46110569,60.49866082
71.41682731,53.00420535,51.46062678,54.68772015
71.24583824,52.98621749,51.46016226,60.48269143
71.07767987,52.9685403,51.45971165,54.69070661
70.91228414,52.95116658,51.45927447,60.49619984
70.74958497,52.93408938,51.45885028,54.68818401
70.58951833,52.91730189,51.45843865,60.4847808
70.43202246,52.90079754,51.45803915,54.69031968
70.27703719,52.88456992,51.4576514,60.49444282
70.12450414,52.86861284,51.45727502,54.68851472
69.97436702,52.85292023,51.45690963,60.48627735
69.82657094,52.83748622,51.45655487,54.69002456
69.68106281,52.82230508,51.45621042,60.49313528
69.53779103,52.80737127,51.45587594,54.68876392
69.39670554,52.79267938,51.45555112,60.48740296
69.25775768,52.77822413,51.45523565,54.68981408
69.12090026,52.76400041,51.45492923,60.49218463
68.98608748,52.75000323,51.45463159,54.68893487
68.85327476,52.73622775,51.45434245,60.48819409
68.72241889,52.72266925,51.45406156,54.68967905
68.59347777,52.70932312,51.45378864,60.49156733
68.46641051,52.69618488,51.45352347,54.68905412
68.34117744,52.68325018,51.45326581,60.48872687
68.21773985,52.67051476,51.45301542,54.68958042
68.09606019,52.65797448,51.45277209,60.49110322
67.9761019,52.6456253,51.45253561,54.68913439
67.85782941,52.6334633,51.45230577,60.48909209
67.74120812,52.62148465,51.45208237,54.68951629
67.6262043,52.60968561,51.45186522,60.4908204
67.51278523,52.59806254,51.45165413,54.68919313
67.40091892,52.58661188,51.45144893,60.48934202
67.29057433,52.57533019,51.45124944,54.68946247
67.18172118,52.56421408,51.4510555,60.49058832
67.07433001,52.55326026,51.45086693,54.68923458
66.96837203,52.54246552,51.45068359,60.48953101
66.86381924,52.53182671,51.45050532,54.68942766
66.76064437,52.52134078,51.45033197,60.49042771
66.65882086,52.51100476,51.45016341,54.68926115
66.55832275,52.50081573,51.44999949,60.48965296
66.45912476,52.49077084,51.44984009,54.68940403
66.36120228,52.48086733,51.44968506,60.49031613
66.2645312,52.47110248,51.4495343,54.68928356
66.16908808,52.46147366,51.44938766,60.48975339
66.07485012,52.45197828,51.44924505,54.68938277
65.98179493,52.44261383,51.44910634,60.49022161
65.88990074,52.43337782,51.44897142,54.68929997
65.79914625,52.42426788,51.44884018,60.48983201
65.70951077,52.41528164,51.44871252,54.68936881
65.62097398,52.40641682,51.44858835,60.49015518
65.53351608,52.39767116,51.44846756,54.68931719
65.44711781,52.38904249,51.44835005,60.48989985
65.36176026,52.38052866,51.44823574,54.68935432
65.277425,52.37212759,51.44812454,60.49009501
65.19409399,52.36383721,51.44801635,54.68932403
65.11174965,52.35565555,51.4479111,60.48994704
65.03037482,52.34758064,51.4478087,54.68934921
64.94995271,52.33961058,51.44770908,60.49007532
64.87046682,52.33174351,51.44761216,54.68933073
64.79190116,52.32397759,51.44751785,60.48997032
64.71423999,52.31631104,51.4474261,54.6893432
64.63746799,52.30874213,51.44733683,60.49004765
64.56157016,52.30126914,51.44724997,54.68933406
64.48653177,52.29389039,51.44716545,60.48999453
64.41233849,52.28660428,51.44708321,54.68934038
64.33897626,52.27940918,51.4470032,60.49003582
64.26643139,52.27230354,51.44692533,54.68933542
64.19469035,52.26528583,51.44684957,60.49000414
64.12374006,52.25835456,51.44677585,54.6893387
64.05356757,52.25150826,51.44670411,60.49002519
63.98416031,52.2447455,51.4466343,54.68933971
63.91550597,52.23806487,51.44656637,60.49001951
63.84759244,52.23146501,51.44650026,54.6893384
63.78040788,52.22494458,51.44643594,60.49001555
63.71394072,52.21850224,51.44637334,54.68933957
63.64817967,52.21213671,51.44631242,60.49002607
63.58311355,52.20584675,51.44625314,54.68933861
63.51873151,52.19963111,51.44619545,60.49001637
63.45502285,52.19348858,51.44613931,54.68933885
63.3919772,52.18741798,51.44608467,60.49002057
63.3295843,52.18141815,51.4460315,54.68933841
63.2678341,52.17548795,51.44597975,60.49001761
63.2067168,52.16962627,51.44592939,54.68933891
63.14622278,52.16383202,51.44588038,60.49001991
63.08634263,52.15810413,51.44583268,54.68933794
63.02706699,52.15244156,51.44578627,60.49001467
62.96838689,52.14684328,51.44574109,54.68933954
62.9102934,52.14130828,51.44569712,60.49002594
62.85277778,52.13583558,51.44565434,54.68933896
62.79583151,52.13042423,51.44561269,60.49001755
62.7394462,52.12507325,51.44557216,54.68933916
62.6836136,52.11978174,51.44553272,60.49002142
